"국가(대륙)별","상품군별","판매유형별",2021.3/4,2021.4/4 p)
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점",0,0
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외",56,65
"아세안(ASEAN)","가전·전자·통신기기","계",2714,1299
"아세안(ASEAN)","가전·전자·통신기기","면세점",131,74
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외",2583,1225
"아세안(ASEAN)","소프트웨어","계",1,0
"아세안(ASEAN)","소프트웨어","면세점",0,0
"아세안(ASEAN)","소프트웨어","면세점 이외",1,0
"아세안(ASEAN)","서 적","계",679,1227
"아세안(ASEAN)","서 적","면세점",0,0
"아세안(ASEAN)","서 적","면세점 이외",679,1227
"아세안(ASEAN)","사무·문구","계",689,744
"아세안(ASEAN)","사무·문구","면세점",0,0
"아세안(ASEAN)","사무·문구","면세점 이외",689,744
"아세안(ASEAN)","음반·비디오·악기","계",3113,4333
"아세안(ASEAN)","음반·비디오·악기","면세점",0,0
"아세안(ASEAN)","음반·비디오·악기","면세점 이외",3113,4333
"아세안(ASEAN)","의류 및 패션 관련상품","계",8443,6553
"아세안(ASEAN)","의류 및 패션 관련상품","면세점",35,76
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외",8408,6477
"아세안(ASEAN)","스포츠·레저용품","계",1505,746
"아세안(ASEAN)","스포츠·레저용품","면세점",0,0
"아세안(ASEAN)","스포츠·레저용품","면세점 이외",1505,746
"아세안(ASEAN)","화장품","계",3065,3258
"아세안(ASEAN)","화장품","면세점",2235,1701
"아세안(ASEAN)","화장품","면세점 이외",830,1557
"아세안(ASEAN)","아동·유아용품","계",852,647
"아세안(ASEAN)","아동·유아용품","면세점",0,0
"아세안(ASEAN)","아동·유아용품","면세점 이외",852,647
"아세안(ASEAN)","음·식료품","계",430,709
"아세안(ASEAN)","음·식료품","면세점",18,19
"아세안(ASEAN)","음·식료품","면세점 이외",412,690
"아세안(ASEAN)","농축수산물","계",2,21
"아세안(ASEAN)","농축수산물","면세점",0,0
"아세안(ASEAN)","농축수산물","면세점 이외",2,21
"아세안(ASEAN)","생활용품 및 자동차용품","계",2084,1210
"아세안(ASEAN)","생활용품 및 자동차용품","면세점",0,0
"아세안(ASEAN)","생활용품 및 자동차용품","면세점 이외",2084,1210
"아세안(ASEAN)","기 타","계",1634,781
"아세안(ASEAN)","기 타","면세점",0,0
"아세안(ASEAN)","기 타","면세점 이외",1634,781
"유럽연합(EU)","합계","계",6988,9168
"유럽연합(EU)","합계","면세점",7,10
"유럽연합(EU)","합계","면세점 이외",6981,9158
"유럽연합(EU)","컴퓨터 및 주변기기","계",232,351
"유럽연합(EU)","컴퓨터 및 주변기기","면세점",0,0
"유럽연합(EU)","컴퓨터 및 주변기기","면세점 이외",232,351
"유럽연합(EU)","가전·전자·통신기기","계",338,508
"유럽연합(EU)","가전·전자·통신기기","면세점",0,0
"유럽연합(EU)","가전·전자·통신기기","면세점 이외",338,508
"유럽연합(EU)","소프트웨어","계",23,23
"유럽연합(EU)","소프트웨어","면세점",0,0
"유럽연합(EU)","소프트웨어","면세점 이외",23,23
"유럽연합(EU)","서 적","계",186,205
"유럽연합(EU)","서 적","면세점",0,0
"유럽연합(EU)","서 적","면세점 이외",186,205
"유럽연합(EU)","사무·문구","계",18,34
"유럽연합(EU)","사무·문구","면세점",0,0
"유럽연합(EU)","사무·문구","면세점 이외",18,34
"유럽연합(EU)","음반·비디오·악기","계",2166,2930
"유럽연합(EU)","음반·비디오·악기","면세점",0,0
"유럽연합(EU)","음반·비디오·악기","면세점 이외",2166,2930
"유럽연합(EU)","의류 및 패션 관련상품","계",1208,1396
"유럽연합(EU)","의류 및 패션 관련상품","면세점",2,1
"유럽연합(EU)","의류 및 패션 관련상품","면세점 이외",1206,1395
"유럽연합(EU)","스포츠·레저용품","계",184,459
"유럽연합(EU)","스포츠·레저용품","면세점",0,0
"유럽연합(EU)","스포츠·레저용품","면세점 이외",184,459
"유럽연합(EU)","화장품","계",774,1301
"유럽연합(EU)","화장품","면세점",5,8
"유럽연합(EU)","화장품","면세점 이외",769,1293
"유럽연합(EU)","아동·유아용품","계",392,390
"유럽연합(EU)","아동·유아용품","면세점",0,0
"유럽연합(EU)","아동·유아용품","면세점 이외",392,390
"유럽연합(EU)","음·식료품","계",9,9
"유럽연합(EU)","음·식료품","면세점",0,1
"유럽연합(EU)","음·식료품","면세점 이외",9,8
"유럽연합(EU)","농축수산물","계",0,2
"유럽연합(EU)","농축수산물","면세점",0,0
"유럽연합(EU)","농축수산물","면세점 이외",0,2
"유럽연합(EU)","생활용품 및 자동차용품","계",455,563
"유럽연합(EU)","생활용품 및 자동차용품","면세점",0,0
"유럽연합(EU)","생활용품 및 자동차용품","면세점 이외",455,563
"유럽연합(EU)","기 타","계",1003,997
"유럽연합(EU)","기 타","면세점",0,0
"유럽연합(EU)","기 타","면세점 이외",1003,997
"중동","합계","계",1705,1918
"중동","합계","면세점",0,0
"중동","합계","면세점 이외",1705,1918
"중동","컴퓨터 및 주변기기","계",72,75
"중동","컴퓨터 및 주변기기","면세점",0,0
"중동","컴퓨터 및 주변기기","면세점 이외",72,75
"중동","가전·전자·통신기기","계",95,176
"중동","가전·전자·통신기기","면세점",0,0
"중동","가전·전자·통신기기","면세점 이외",95,176
"중동","소프트웨어","계",1,0
"중동","소프트웨어","면세점",0,0
"중동","소프트웨어","면세점 이외",1,0
"중동","서 적","계",31,38
"중동","서 적","면세점",0,0
"중동","서 적","면세점 이외",31,38
"중동","사무·문구","계",3,2
"중동","사무·문구","면세점",0,0
"중동","사무·문구","면세점 이외",3,2
"중동","음반·비디오·악기","계",374,367
"중동","음반·비디오·악기","면세점",0,0
"중동","음반·비디오·악기","면세점 이외",374,367
"중동","의류 및 패션 관련상품","계",421,427
"중동","의류 및 패션 관련상품","면세점",0,0
"중동","의류 및 패션 관련상품","면세점 이외",421,427
"중동","스포츠·레저용품","계",36,44
"중동","스포츠·레저용품","면세점",0,0
"중동","스포츠·레저용품","면세점 이외",36,44
"중동","화장품","계",380,465
"중동","화장품","면세점",0,0
"중동","화장품","면세점 이외",380,465
"중동","아동·유아용품","계",20,23
"중동","아동·유아용품","면세점",0,0
"중동","아동·유아용품","면세점 이외",20,23
"중동","음·식료품","계",1,0
"중동","음·식료품","면세점",0,0
"중동","음·식료품","면세점 이외",1,0
"중동","농축수산물","계",0,0
"중동","농축수산물","면세점",0,0
"중동","농축수산물","면세점 이외",0,0
"중동","생활용품 및 자동차용품","계",135,192
"중동","생활용품 및 자동차용품","면세점",0,0
"중동","생활용품 및 자동차용품","면세점 이외",135,192
"중동","기 타","계",136,109
"중동","기 타","면세점",0,0
"중동","기 타","면세점 이외",136,109
"중남미","합계","계",2166,2363
"중남미","합계","면세점",0,0
"중남미","합계","면세점 이외",2166,2363
"중남미","컴퓨터 및 주변기기","계",106,69
"중남미","컴퓨터 및 주변기기","면세점",0,0
"중남미","컴퓨터 및 주변기기","면세점 이외",106,69
"중남미","가전·전자·통신기기","계",133,213
"중남미","가전·전자·통신기기","면세점",0,0
"중남미","가전·전자·통신기기","면세점 이외",133,213
"중남미","소프트웨어","계",4,3
"중남미","소프트웨어","면세점",0,0
"중남미","소프트웨어","면세점 이외",4,3
"중남미","서 적","계",50,112
"중남미","서 적","면세점",0,0
"중남미","서 적","면세점 이외",50,112
"중남미","사무·문구","계",6,9
"중남미","사무·문구","면세점",0,0
"중남미","사무·문구","면세점 이외",6,9
"중남미","음반·비디오·악기","계",1035,1052
"중남미","음반·비디오·악기","면세점",0,0
"중남미","음반·비디오·악기","면세점 이외",1035,1052
"중남미","의류 및 패션 관련상품","계",182,181
"중남미","의류 및 패션 관련상품","면세점",0,0
"중남미","의류 및 패션 관련상품","면세점 이외",182,181
"중남미","스포츠·레저용품","계",29,45
"중남미","스포츠·레저용품","면세점",0,0
"중남미","스포츠·레저용품","면세점 이외",29,45
"중남미","화장품","계",130,177
"중남미","화장품","면세점",0,0
"중남미","화장품","면세점 이외",130,177
"중남미","아동·유아용품","계",35,34
"중남미","아동·유아용품","면세점",0,0
"중남미","아동·유아용품","면세점 이외",35,34
"중남미","음·식료품","계",0,3
"중남미","음·식료품","면세점",0,0
"중남미","음·식료품","면세점 이외",0,3
"중남미","농축수산물","계",0,0
"중남미","농축수산물","면세점",0,0
"중남미","농축수산물","면세점 이외",0,0
"중남미","생활용품 및 자동차용품","계",273,323
"중남미","생활용품 및 자동차용품","면세점",0,0
"중남미","생활용품 및 자동차용품","면세점 이외",273,323
"중남미","기 타","계",183,142
"중남미","기 타","면세점",0,0
"중남미","기 타","면세점 이외",183,142
"대양주","합계","계",4766,4623
"대양주","합계","면세점",1,0
"대양주","합계","면세점 이외",4765,4623
"대양주","컴퓨터 및 주변기기","계",77,61
"대양주","컴퓨터 및 주변기기","면세점",0,0
"대양주","컴퓨터 및 주변기기","면세점 이외",77,61
"대양주","가전·전자·통신기기","계",843,1000
"대양주","가전·전자·통신기기","면세점",0,0
"대양주","가전·전자·통신기기","면세점 이외",843,1000
"대양주","소프트웨어","계",5,4
"대양주","소프트웨어","면세점",0,0
"대양주","소프트웨어","면세점 이외",5,4
"대양주","서 적","계",107,99
"대양주","서 적","면세점",0,0
"대양주","서 적","면세점 이외",107,99
"대양주","사무·문구","계",14,56
"대양주","사무·문구","면세점",0,0
"대양주","사무·문구","면세점 이외",14,56
"대양주","음반·비디오·악기","계",604,573
"대양주","음반·비디오·악기","면세점",0,0
"대양주","음반·비디오·악기","면세점 이외",604,573
"대양주","의류 및 패션 관련상품","계",1253,1431
"대양주","의류 및 패션 관련상품","면세점",1,0
"대양주","의류 및 패션 관련상품","면세점 이외",1252,1431
"대양주","스포츠·레저용품","계",708,330
"대양주","스포츠·레저용품","면세점",0,0
"대양주","스포츠·레저용품","면세점 이외",708,330
"대양주","화장품","계",482,460
"대양주","화장품","면세점",0,0
"대양주","화장품","면세점 이외",482,460
"대양주","아동·유아용품","계",116,107
"대양주","아동·유아용품","면세점",0,0
"대양주","아동·유아용품","면세점 이외",116,107
"대양주","음·식료품","계",10,7
"대양주","음·식료품","면세점",0,0
"대양주","음·식료품","면세점 이외",10,7
"대양주","농축수산물","계",0,12
"대양주","농축수산물","면세점",0,0
"대양주","농축수산물","면세점 이외",0,12
"대양주","생활용품 및 자동차용품","계",264,255
"대양주","생활용품 및 자동차용품","면세점",0,0
"대양주","생활용품 및 자동차용품","면세점 이외",264,255
"대양주","기 타","계",283,228
"대양주","기 타","면세점",0,0
"대양주","기 타","면세점 이외",283,228
"기타","합계","계",11514,16962
"기타","합계","면세점",3504,3089
"기타","합계","면세점 이외",8010,13873
"기타","컴퓨터 및 주변기기","계",1460,1613
"기타","컴퓨터 및 주변기기","면세점",0,0
"기타","컴퓨터 및 주변기기","면세점 이외",1460,1613
"기타","가전·전자·통신기기","계",241,350
"기타","가전·전자·통신기기","면세점",1,8
"기타","가전·전자·통신기기","면세점 이외",240,342
"기타","소프트웨어","계",4,3
"기타","소프트웨어","면세점",0,0
"기타","소프트웨어","면세점 이외",4,3
"기타","서 적","계",246,667
"기타","서 적","면세점",0,0
"기타","서 적","면세점 이외",246,667
"기타","사무·문구","계",53,173
"기타","사무·문구","면세점",0,0
"기타","사무·문구","면세점 이외",53,173
"기타","음반·비디오·악기","계",427,3294
"기타","음반·비디오·악기","면세점",0,0
"기타","음반·비디오·악기","면세점 이외",427,3294
"기타","의류 및 패션 관련상품","계",1986,2019
"기타","의류 및 패션 관련상품","면세점",75,79
"기타","의류 및 패션 관련상품","면세점 이외",1911,1940
"기타","스포츠·레저용품","계",140,290
"기타","스포츠·레저용품","면세점",0,0
"기타","스포츠·레저용품","면세점 이외",140,290
"기타","화장품","계",4459,4821
"기타","화장품","면세점",3424,2990
"기타","화장품","면세점 이외",1035,1831
"기타","아동·유아용품","계",917,769
"기타","아동·유아용품","면세점",0,0
"기타","아동·유아용품","면세점 이외",917,769
"기타","음·식료품","계",46,51
